group,type,condition,shape1,shape2,color,background,sentence,truth_value,acc_key,image,cardinality,ratio
a,I,Every-Some,Triangle,Star,Purple,Cloud,Every triangle is connected to some star in the cloud.,0,L,F.eTRsST-Cloud.png,8,1
a,D,D,Square,Yellow,null,Cross,There are yellow squares in the cross.,1,A,T.ywSQ-Cross.png,17,1
a,A,All,Star,Green,Brown,Triangle,All stars are green in the triangle.,0,L,Tri.aSTgr-False.png,15,7:8
a,I,Some-Every,Square,Circle,Brown,Cloud,Some square is connected to every circle in the cloud.,1,A,T.sSQeCR-Cloud.png,8,1
a,P,Most,Circle,Pink,Yellow,Diamond,Most circles are pink in the diamond.,1,A,Dmd.mCRpk-True.png,17,9:8
a,A,All,Square,Purple,Yellow,House,All squares are purple in the house.,0,L,Hse.aSQpr-False.png,15,8:7
a,I,Every-Some,Star,Triangle,Brown,Cross,Every star is connected to some triangle in the cross.,0,L,F.eSTsTR-Cross.png,8,1
a,D,D,Circle,Red,null,Cloud,There are red circles in the cloud.,1,A,T.rdCR-Cloud.png,15,1
a,P,Most,Square,Brown,Red,Heart,Most squares are brown in the heart.,1,A,Hrt.mSQbr-True.png,15,8:7
a,I,Some-Every,Triangle,Star,Red,Scroll,Some triangle is connected to every star in the scroll.,0,L,F.sTReST-Scroll.png,8,1
a,P,Most,Star,Pink,Green,Cross,Most stars are pink in the cross.,0,L,Crs.mSTpk-False.png,15,7:8
a,I,Every-Some,Square,Circle,Yellow,Star,Every square is connected to some circle in the star.,1,A,T.eSQsCR-Star.png,8,1
a,A,All,Triangle,Red,Orange,Diamond,All triangles are red in the diamond.,0,L,Dmd.aTRrd-False.png,17,9:8
a,D,D,Square,null,Green,Scroll,There are blue squares in the scroll.,0,L,F.blSQ-Scroll.png,17,1
a,I,Some-Every,Circle,Square,Purple,Triangle,Some circle is connected to every square in the triangle.,1,A,T.sCReSQ-Triangle.png,8,1
a,A,All,Circle,Brown,Blue,Cross,All circles are brown in the cross.,0,L,Crs.aCRbr-False.png,17,8:9
a,I,Some-Every,Star,Triangle,Green,Heart,Some star is connected to every triangle in the heart.,1,A,T.sSTeTR-Heart.png,8,1
a,P,Most,Triangle,Blue,Pink,Cloud,Most triangles are blue in the cloud.,0,L,Cld.mTRbl-False.png,17,9:8
a,I,Every-Some,Circle,Square,Orange,Heart,Every circle is connected to some square in the heart.,0,L,F.eCRsSQ-Heart.png,8,1
a,D,D,Triangle,Brown,null,Star,There are brown triangles in the star.,1,A,T.brTR-Star.png,17,1
a,P,Most,Star,Red,Purple,Scroll,Most stars are red in the scroll.,1,A,Scr.mSTrd-True.png,15,8:7
a,I,Some-Every,Triangle,Star,Orange,Cross,Some triangle is connected to every star in the cross.,1,A,T.sTReST-Cross.png,8,1
a,D,D,Circle,null,Blue,House,There are orange circles in the house.,0,L,F.ogCR-House.png,15,1
a,I,Every-Some,Square,Circle,Green,Triangle,Every square is connected to some circle in the triangle.,0,L,F.eSQsCR-Triangle.png,8,1
a,A,All,Star,Pink,null,Heart,All stars are pink in the heart.,1,A,Hrt.aSTpk-True.png,15,1
a,I,Some-Every,Circle,Square,Blue,Star,Some circle is connected to every square in the star.,0,L,F.sCReSQ-Star.png,8,1
a,A,All,Square,Yellow,null,Cloud,All squares are yellow in the cloud.,1,A,Cld.aSQyw-True.png,15,1
a,I,Every-Some,Triangle,Star,Blue,Diamond,Every triangle is connected to some star in the diamond.,1,A,T.eTRsST-Diamond.png,8,1
